nSeq;I1; I2; O1; O2;A1;A2;A3;A4;A5;A6
13;0;0;0;0;506;511;0;508;38;11
14;0;0;0;0;507;511;0;506;38;11
15;0;0;0;0;504;513;0;506;38;11
0;0;0;0;0;506;511;0;505;38;11
1;0;0;0;0;507;510;0;504;38;11
2;0;0;0;0;507;511;0;504;38;11
3;0;0;0;0;505;512;0;507;38;11
4;0;0;0;0;505;512;0;504;38;11
5;0;0;0;0;500;511;0;506;38;11
6;0;0;0;0;500;512;0;506;38;11
7;0;0;0;0;502;511;0;503;38;11
8;0;0;0;0;498;509;0;499;38;11
9;0;0;0;0;496;509;0;496;38;11
10;0;0;0;0;506;509;0;497;38;11
11;0;0;0;0;516;507;0;498;38;11
12;0;0;0;0;530;506;0;500;38;11
13;0;0;0;0;525;506;0;503;38;11
14;0;0;0;0;505;507;0;503;38;11
15;0;0;0;0;507;508;0;504;38;11
0;0;0;0;0;507;508;0;505;38;11
1;0;0;0;0;505;508;0;505;38;11
2;0;0;0;0;504;510;0;504;38;11
3;0;0;0;0;507;510;0;509;38;11
4;0;0;0;0;508;508;0;503;38;11
5;0;0;0;0;508;510;0;505;38;11
6;0;0;0;0;504;511;0;508;38;11
7;0;0;0;0;505;511;0;508;38;11
8;0;0;0;0;509;510;0;508;38;11
9;0;0;0;0;510;510;0;508;38;11
10;0;0;0;0;509;511;0;509;38;11
11;0;0;0;0;507;511;0;512;38;11
12;0;0;0;0;506;511;0;512;38;11
13;0;0;0;0;505;510;0;515;38;11
14;0;0;0;0;504;510;0;513;38;11
15;0;0;0;0;504;511;0;512;38;11
0;0;0;0;0;497;508;0;510;38;11
1;0;0;0;0;498;507;0;511;38;11
2;0;0;0;0;507;508;0;511;38;11
3;0;0;0;0;518;510;0;512;38;11
4;0;0;0;0;525;509;0;516;38;11
5;0;0;0;0;514;509;0;518;38;11
6;0;0;0;0;513;511;0;518;38;11
7;0;0;0;0;510;511;0;516;38;11
8;0;0;0;0;505;510;0;512;38;11
9;0;0;0;0;504;511;0;509;38;11
10;0;0;0;0;510;511;0;508;38;11
11;0;0;0;0;511;511;0;506;38;11
12;0;0;0;0;510;508;0;505;38;11
13;0;0;0;0;508;509;0;506;38;11
14;0;0;0;0;507;511;0;508;38;11
15;0;0;0;0;507;511;0;509;38;11
0;0;0;0;0;510;512;0;509;38;11
1;0;0;0;0;506;511;0;510;38;11
2;0;0;0;0;504;510;0;509;38;11
3;0;0;0;0;503;509;0;508;38;11
4;0;0;0;0;503;508;0;503;38;11
5;0;0;0;0;506;510;0;503;38;11
6;0;0;0;0;510;511;0;502;38;11
7;0;0;0;0;509;511;0;504;38;11
8;0;0;0;0;505;509;0;504;38;11
9;0;0;0;0;502;508;0;504;38;11
10;0;0;0;0;508;509;0;520;38;11
11;0;0;0;0;510;510;0;506;38;11
12;0;0;0;0;513;508;0;507;38;11
13;0;0;0;0;509;509;0;506;38;11
14;0;0;0;0;508;510;0;508;38;11
15;0;0;0;0;508;510;0;508;38;11
0;0;0;0;0;509;509;0;508;38;11
1;0;0;0;0;508;510;0;510;38;11
