nSeq;I1; I2; O1; O2;A3
3;0;0;0;0;268
4;0;0;0;0;268
5;0;0;0;0;268
6;0;0;0;0;268
7;0;0;0;0;268
8;0;0;0;0;268
9;0;0;0;0;268
10;0;0;0;0;268
11;0;0;0;0;268
12;0;0;0;0;268
13;0;0;0;0;268
14;0;0;0;0;268
15;0;0;0;0;268
0;0;0;0;0;268
1;0;0;0;0;268
2;0;0;0;0;268
3;0;0;0;0;268
4;0;0;0;0;268
5;0;0;0;0;268
6;0;0;0;0;268
7;0;0;0;0;268
8;0;0;0;0;268
9;0;0;0;0;268
10;0;0;0;0;268
11;0;0;0;0;268
12;0;0;0;0;268
13;0;0;0;0;268
14;0;0;0;0;268
15;0;0;0;0;268
0;0;0;0;0;268
1;0;0;0;0;268
2;0;0;0;0;268
3;0;0;0;0;268
4;0;0;0;0;268
5;0;0;0;0;268
6;0;0;0;0;268
7;0;0;0;0;268
8;0;0;0;0;268
9;0;0;0;0;268
10;0;0;0;0;268
11;0;0;0;0;268
12;0;0;0;0;268
13;0;0;0;0;268
14;0;0;0;0;268
15;0;0;0;0;268
0;0;0;0;0;268
1;0;0;0;0;268
2;0;0;0;0;268
3;0;0;0;0;268
4;0;0;0;0;268
5;0;0;0;0;268
6;0;0;0;0;268
7;0;0;0;0;268
8;0;0;0;0;268
9;0;0;0;0;268
10;0;0;0;0;269
11;0;0;0;0;268
12;0;0;0;0;268
13;0;0;0;0;268
14;0;0;0;0;268
15;0;0;0;0;268
0;0;0;0;0;268
1;0;0;0;0;268
2;0;0;0;0;268
3;0;0;0;0;268
4;0;0;0;0;269
5;0;0;0;0;268
6;0;0;0;0;268
7;0;0;0;0;268
8;0;0;0;0;268
9;0;0;0;0;269
10;0;0;0;0;269
11;0;0;0;0;268
12;0;0;0;0;269
13;0;0;0;0;269
14;0;0;0;0;269
15;0;0;0;0;269
0;0;0;0;0;269
1;0;0;0;0;269
2;0;0;0;0;269
3;0;0;0;0;269
4;0;0;0;0;269
5;0;0;0;0;269
6;0;0;0;0;269
7;0;0;0;0;269
8;0;0;0;0;269
9;0;0;0;0;269
10;0;0;0;0;269
11;0;0;0;0;269
12;0;0;0;0;269
13;0;0;0;0;269
14;0;0;0;0;269
15;0;0;0;0;269
0;0;0;0;0;269
1;0;0;0;0;269
2;0;0;0;0;269
3;0;0;0;0;269
4;0;0;0;0;269
5;0;0;0;0;269
6;0;0;0;0;269
7;0;0;0;0;269
8;0;0;0;0;269
9;0;0;0;0;269
10;0;0;0;0;269
11;0;0;0;0;269
12;0;0;0;0;269
13;0;0;0;0;269
14;0;0;0;0;269
15;0;0;0;0;269
0;0;0;0;0;269
1;0;0;0;0;269
2;0;0;0;0;269
3;0;0;0;0;269
4;0;0;0;0;269
5;0;0;0;0;269
6;0;0;0;0;270
7;0;0;0;0;269
8;0;0;0;0;269
9;0;0;0;0;269
10;0;0;0;0;269
11;0;0;0;0;269
12;0;0;0;0;269
13;0;0;0;0;269
14;0;0;0;0;269
15;0;0;0;0;269
0;0;0;0;0;270
1;0;0;0;0;270
2;0;0;0;0;269
3;0;0;0;0;269
4;0;0;0;0;269
5;0;0;0;0;270
6;0;0;0;0;270
7;0;0;0;0;269
8;0;0;0;0;270
9;0;0;0;0;270
10;0;0;0;0;270
11;0;0;0;0;270
12;0;0;0;0;270
13;0;0;0;0;270
14;0;0;0;0;270
15;0;0;0;0;270
0;0;0;0;0;270
1;0;0;0;0;270
2;0;0;0;0;270
