nSeq;I1;I2;O1;O2;A3
12;0;0;0;0;221
13;0;0;0;0;221
14;0;0;0;0;221
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;221
3;0;0;0;0;221
4;0;0;0;0;221
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;221
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
12;0;0;0;0;221
13;0;0;0;0;221
14;0;0;0;0;221
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;221
3;0;0;0;0;221
4;0;0;0;0;221
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;221
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
12;0;0;0;0;221
13;0;0;0;0;221
14;0;0;0;0;221
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;221
3;0;0;0;0;221
4;0;0;0;0;221
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;221
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
12;0;0;0;0;221
13;0;0;0;0;221
14;0;0;0;0;221
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;221
3;0;0;0;0;220
4;0;0;0;0;221
5;0;0;0;0;221
6;0;0;0;0;221
7;0;0;0;0;221
8;0;0;0;0;221
9;0;0;0;0;221
10;0;0;0;0;221
11;0;0;0;0;221
12;0;0;0;0;221
13;0;0;0;0;220
14;0;0;0;0;221
15;0;0;0;0;221
0;0;0;0;0;221
1;0;0;0;0;221
2;0;0;0;0;220
3;0;0;0;0;221
4;0;0;0;0;221
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;221
10;0;0;0;0;220
11;0;0;0;0;221
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;221
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
